Mesh ID,Cross-section type,Pressure (MPa),Aspect Ratio,Pore Area (um^2)
2_6a,oval,0.9,[np.float64(1.4515574502519275)],3577.7990175495215
2_6a,oval,0.8,[np.float64(1.402719641897517)],3556.7539467062734
2_6a,oval,0.3,[np.float64(1.2947580509245613)],3454.5134687155737
2_6a,oval,0.2,[np.float64(1.2010688592001897)],3434.677015137985
2_6a,oval,2.0,[np.float64(2.946073042836492)],3822.249283751517
2_6a,oval,0.0,[np.float64(0.9978181988116435)],3395.689500598757
2_6a,oval,0.1,[np.float64(1.1681606065230643)],3415.057426801902
2_6a,oval,0.5,[np.float64(1.364178487218513)],3494.804955940711
2_6a,oval,0.4,[np.float64(1.3283358958060325)],3474.573937994084
2_6a,oval,0.6,[np.float64(1.3795892924900635)],3515.2666228125163
2_6a,oval,0.7,[np.float64(1.3919271701419038)],3535.914925957206
2_6a,oval,1.0,[np.float64(1.4608286745037347)],3599.0385884512693
2_6a,oval,1.1,[np.float64(1.4694285139914944)],3620.4764682973423
2_6a,oval,1.3,[np.float64(1.4862514413667351)],3664.0701979135483
2_6a,oval,1.2,[np.float64(1.4783116848811284)],3642.1716070726943
2_6a,oval,1.6,[np.float64(3.0002857627470543)],3730.8355180961544
2_6a,oval,1.7,[np.float64(2.9691402093720725)],3753.435061738717
2_6a,oval,1.5,[np.float64(0.914644304847218)],3708.4069612838434
2_6a,oval,1.4,[np.float64(1.493277313615289)],3686.1544325307777
2_7,circular,1.2,[np.float64(3.057630748492507)],4248.747927586067
2_7,circular,1.3,[np.float64(1.6838514640395976)],4275.945032270278
2_7,circular,1.1,[np.float64(1.6459213600741331)],4221.737814035376
2_7,circular,1.0,[np.float64(1.6473963926888708)],4194.908637284843
2_7,circular,1.4,[np.float64(1.6823076505638321)],4303.353016215974
2_7,circular,1.5,[np.float64(1.680861904679702)],4330.922893828229
2_7,circular,1.7,[np.float64(1.6897338018298615)],4386.677536787383
2_7,circular,1.6,[np.float64(1.6793541042341216)],4358.7386561838775
2_7,circular,0.1,[np.float64(1.56664824362268)],3961.6694685374705
2_7,circular,0.0,[np.float64(1.4940108771812755)],3936.6127702106974
2_7,circular,0.2,[np.float64(3.3816448539839805)],3986.891685082639
2_7,circular,2.0,[np.float64(1.7010622786362715)],4471.889989471318
